"","V1","V2","V3","prob","cumul.prob","V6"
"1637",15,70,15,8.8404408932201e-15,2.3244636367335e-13,60.5
"1638",15,15,70,8.8404408932201e-15,2.4128680456657e-13,60.5
"1639",67,29,4,2.3398021117868e-17,2.41310202587688e-13,60.38
"1640",29,67,4,2.3398021117868e-17,2.41333600608806e-13,60.38
"1641",67,4,29,2.3398021117868e-17,2.41356998629923e-13,60.38
"1642",4,67,29,2.3398021117868e-17,2.41380396651041e-13,60.38
"1643",29,4,67,2.3398021117868e-17,2.41403794672159e-13,60.38
"1644",4,29,67,2.3398021117868e-17,2.41427192693277e-13,60.38
"1645",63,37,0,6.63596957553819e-21,2.41427199329247e-13,60.14
"1646",37,63,0,6.63596957553819e-21,2.41427205965216e-13,60.14
"1647",63,0,37,6.63596957553819e-21,2.41427212601186e-13,60.14
"1648",0,63,37,6.63596957553819e-21,2.41427219237155e-13,60.14
"1649",37,0,63,6.63596957553819e-21,2.41427225873125e-13,60.14
"1650",0,37,63,6.63596957553819e-21,2.41427232509094e-13,60.14
"1651",68,26,6,2.51459909307903e-16,2.41678692418402e-13,60.08
"1652",26,68,6,2.51459909307903e-16,2.4193015232771e-13,60.08
"1653",68,6,26,2.51459909307903e-16,2.42181612237018e-13,60.08
"1654",6,68,26,2.51459909307903e-16,2.42433072146326e-13,60.08
"1655",26,6,68,2.51459909307903e-16,2.42684532055634e-13,60.08
"1656",6,26,68,2.51459909307903e-16,2.42935991964942e-13,60.08
"1657",69,22,9,2.59442763571652e-15,2.45530419600658e-13,59.78
"1658",22,69,9,2.59442763571652e-15,2.48124847236375e-13,59.78
"1659",69,9,22,2.59442763571652e-15,2.50719274872091e-13,59.78
"1660",9,69,22,2.59442763571652e-15,2.53313702507808e-13,59.78
"1661",22,9,69,2.59442763571652e-15,2.55908130143524e-13,59.78
"1662",9,22,69,2.59442763571652e-15,2.58502557779241e-13,59.78
"1663",66,31,3,6.74265554794485e-18,2.58509300434789e-13,59.78
"1664",31,66,3,6.74265554794485e-18,2.58516043090337e-13,59.78
"1665",66,3,31,6.74265554794485e-18,2.58522785745885e-13,59.78
"1666",3,66,31,6.74265554794485e-18,2.58529528401433e-13,59.78
"1667",31,3,66,6.74265554794485e-18,2.58536271056981e-13,59.78
"1668",3,31,66,6.74265554794485e-18,2.58543013712529e-13,59.78
"1669",64,35,1,1.38111116790883e-19,2.58543151823645e-13,59.66
"1670",35,64,1,1.38111116790883e-19,2.58543289934762e-13,59.66
"1671",64,1,35,1.38111116790883e-19,2.58543428045879e-13,59.66
"1672",1,64,35,1.38111116790883e-19,2.58543566156996e-13,59.66
"1673",35,1,64,1.38111116790883e-19,2.58543704268113e-13,59.66
"1674",1,35,64,1.38111116790883e-19,2.58543842379229e-13,59.66
"1675",65,33,2,1.26424791523972e-18,2.58545106627145e-13,59.54
"1676",33,65,2,1.26424791523972e-18,2.5854637087506e-13,59.54
"1677",65,2,33,1.26424791523972e-18,2.58547635122975e-13,59.54
"1678",2,65,33,1.26424791523972e-18,2.5854889937089e-13,59.54
"1679",33,2,65,1.26424791523972e-18,2.58550163618806e-13,59.54
"1680",2,33,65,1.26424791523972e-18,2.58551427866721e-13,59.54
"1681",69,21,10,5.70774079857621e-15,2.64259168665297e-13,59.06
"1682",21,69,10,5.70774079857621e-15,2.69966909463873e-13,59.06
